post_time,median
2016-06-01,2.0
2016-06-02,3.0
2016-06-03,2.0
2016-06-04,2.0
2016-06-05,3.0
2016-06-06,3.0
2016-06-07,4.0
2016-06-08,2.0
2016-06-09,4.0
2016-06-10,1.5
2016-06-11,4.0
2016-06-12,4.0
2016-06-13,6.5
2016-06-14,3.0
2016-06-15,3.5
2016-06-16,4.0
2016-06-17,2.0
2016-06-18,4.5
2016-06-19,4.0
2016-06-20,4.0
2016-06-21,5.5
2016-06-22,7.0
2016-06-23,3.0
2016-06-24,4.0
2016-06-25,5.0
2016-06-26,5.0
2016-06-27,3.0
2016-06-28,3.0
2016-06-29,3.0
2016-06-30,2.0
2016-07-01,4.0
2016-07-02,3.0
2016-07-03,4.0
2016-07-04,3.0
2016-07-05,3.0
2016-07-06,2.0
2016-07-07,4.5
2016-07-08,2.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,3.0
2016-07-12,2.0
2016-07-13,3.5
2016-07-14,2.0
2016-07-15,4.0
2016-07-16,5.0
2016-07-17,3.0
2016-07-18,3.0
2016-07-19,3.0
2016-07-20,5.0
2016-07-21,4.5
2016-07-22,2.0
2016-07-23,7.5
2016-07-24,3.0
2016-07-25,2.0
2016-07-26,2.0
2016-07-27,2.0
2016-07-28,4.0
2016-07-29,3.0
2016-07-30,1.0
2016-07-31,1.0
2016-08-01,2.0
2016-08-02,3.0
2016-08-03,3.0
2016-08-04,2.0
2016-08-05,3.0
2016-08-06,1.0
2016-08-07,2.0
2016-08-08,1.0
2016-08-09,2.0
2016-08-10,2.0
2016-08-11,2.0
2016-08-12,3.5
2016-08-13,3.5
2016-08-14,3.5
2016-08-15,4.0
2016-08-16,5.0
2016-08-17,4.0
2016-08-18,3.0
2016-08-19,7.0
2016-08-20,2.5
2016-08-21,2.5
2016-08-22,2.0
2016-08-23,3.0
2016-08-24,2.0
2016-08-25,2.5
2016-08-26,2.0
2016-08-27,3.0
2016-08-28,2.0
2016-08-29,4.0
2016-08-30,4.0
2016-08-31,3.5
2016-09-01,3.0
2016-09-02,3.0
2016-09-03,3.0
2016-09-04,5.0
2016-09-05,5.0
2016-09-06,4.0
2016-09-07,7.0
2016-09-08,5.0
2016-09-09,4.0
2016-09-10,5.5
2016-09-11,4.0
2016-09-12,5.0
2016-09-13,4.0
2016-09-14,3.0
2016-09-15,4.0
2016-09-16,4.0
2016-09-17,5.0
2016-09-18,4.0
2016-09-19,5.0
2016-09-20,5.0
2016-09-21,5.0
2016-09-22,5.5
2016-09-23,5.0
2016-09-24,3.0
2016-09-25,4.0
2016-09-26,3.0
2016-09-27,4.0
2016-09-28,4.0
2016-09-29,5.0
2016-09-30,4.0
2016-10-01,3.0
2016-10-02,5.0
2016-10-03,4.0
2016-10-04,5.0
2016-10-05,5.0
2016-10-06,6.0
2016-10-07,3.0
2016-10-08,3.0
2016-10-09,2.0
2016-10-10,3.5
2016-10-11,3.0
2016-10-12,3.5
2016-10-13,3.0
2016-10-14,5.0
2016-10-15,4.0
2016-10-16,4.0
2016-10-17,6.0
2016-10-18,5.0
2016-10-19,7.0
2016-10-20,2.0
2016-10-21,3.5
2016-10-22,2.5
2016-10-23,5.0
2016-10-24,3.0
2016-10-25,3.5
2016-10-26,4.5
2016-10-27,3.0
2016-10-28,2.0
2016-10-29,3.5
2016-10-30,3.0
2016-10-31,2.0
2016-11-01,2.0
2016-11-02,2.0
2016-11-03,2.0
2016-11-04,2.0
2016-11-05,1.0
2016-11-06,2.0
2016-11-07,1.5
2016-11-08,2.0
2016-11-09,1.0
2016-11-10,2.0
2016-11-11,3.0
2016-11-12,3.0
2016-11-13,3.0
2016-11-14,2.0
2016-11-15,2.0
2016-11-16,2.0
2016-11-17,3.0
2016-11-18,3.0
2016-11-19,2.0
2016-11-20,1.5
2016-11-21,2.0
2016-11-22,2.0
2016-11-23,2.0
2016-11-24,2.0
2016-11-25,3.0
2016-11-26,3.0
2016-11-27,3.5
2016-11-28,3.0
2016-11-29,3.0
2016-11-30,2.0
2016-12-01,4.0
2016-12-02,4.0
2016-12-03,3.0
2016-12-04,4.0
2016-12-05,2.0
2016-12-06,3.0
2016-12-07,2.5
2016-12-08,4.0
2016-12-09,4.0
2016-12-10,1.5
2016-12-11,4.5
2016-12-12,3.0
2016-12-13,3.0
2016-12-14,3.0
2016-12-15,2.0
2016-12-16,3.0
2016-12-17,3.0
2016-12-18,3.0
2016-12-19,2.0
2016-12-20,4.0
2016-12-21,2.0
2016-12-22,3.0
2016-12-23,1.5
2016-12-24,4.0
2016-12-25,5.5
2016-12-26,5.5
2016-12-27,4.0
2016-12-28,2.0
2016-12-29,3.0
2016-12-30,5.0
2016-12-31,1.0
2017-01-01,4.5
2017-01-02,3.0
2017-01-03,6.0
2017-01-04,4.0
2017-01-05,2.0
2017-01-06,4.0
2017-01-07,2.0
2017-01-08,3.0
2017-01-09,4.0
2017-01-10,5.0
2017-01-11,5.0
2017-01-12,4.0
2017-01-13,2.5
2017-01-14,6.0
2017-01-15,7.0
2017-01-16,4.0
2017-01-17,5.0
2017-01-18,3.0
2017-01-19,2.0
2017-01-20,7.0
2017-01-21,4.0
2017-01-22,5.0
2017-01-23,3.5
2017-01-24,6.0
2017-01-25,3.0
2017-01-26,4.5
2017-01-27,6.0
2017-01-28,2.0
2017-01-29,3.0
2017-01-30,7.0
2017-01-31,4.0
2017-02-01,6.0
2017-02-02,3.0
2017-02-03,3.0
2017-02-04,3.0
2017-02-05,6.0
2017-02-06,3.0
2017-02-07,3.0
2017-02-08,9.0
2017-02-09,5.0
2017-02-10,2.0
2017-02-11,4.0
2017-02-12,6.0
2017-02-13,4.0
2017-02-14,2.0
2017-02-15,3.0
2017-02-16,6.0
2017-02-17,4.5
2017-02-18,2.0
2017-02-19,5.0
2017-02-20,3.0
2017-02-21,6.5
2017-02-22,4.0
2017-02-23,5.0
2017-02-24,3.0
2017-02-25,5.0
2017-02-26,5.0
2017-02-27,5.0
2017-02-28,1.5
2017-03-01,5.0
2017-03-02,4.0
2017-03-03,4.0
2017-03-04,5.0
2017-03-05,4.5
2017-03-06,4.0
2017-03-07,2.5
2017-03-08,2.0
2017-03-09,4.0
2017-03-10,3.0
2017-03-11,7.5
2017-03-12,4.5
2017-03-13,4.0
2017-03-14,4.5
2017-03-15,3.0
2017-03-16,2.0
2017-03-17,2.0
2017-03-18,3.0
2017-03-19,3.0
2017-03-20,4.0
2017-03-21,2.5
2017-03-22,3.0
2017-03-23,3.0
2017-03-24,2.0
2017-03-25,2.0
2017-03-26,2.5
2017-03-27,4.0
2017-03-28,2.0
2017-03-29,3.0
2017-03-30,2.5
2017-03-31,5.5
2017-04-01,3.0
2017-04-02,3.5
2017-04-03,7.0
2017-04-04,2.0
2017-04-05,3.0
2017-04-06,4.0
2017-04-07,2.0
2017-04-08,2.0
2017-04-09,3.5
2017-04-10,3.5
2017-04-11,2.0
2017-04-12,2.5
2017-04-13,4.0
2017-04-14,4.0
2017-04-15,5.0
2017-04-16,5.5
2017-04-17,3.0
